Actual_Sales,Predicted_Sales
5760.0,4152.601364471932
5101.0,4774.329552067505
4310.0,6085.993068307911
4285.0,4777.982928878042
6088.0,4952.1624486810215
3045.0,2334.888522817862
2968.0,3039.443293490954
1048.0,3095.648168077449
5265.0,1912.9630506424585
1363.0,4527.971047514187
900.0,2201.067659770145
1895.0,1802.0048126837087
2440.0,2695.2483467081584
895.0,2656.82631069629
460.0,1738.407530680258
1600.0,1647.3146029653176
1150.0,1612.938032153864
840.0,1432.2515519775231
1045.0,1136.6079866238842
140.0,1331.5421809847935
2105.0,278.1334391822614
910.0,1876.5047810115514
2090.0,1067.6370926327768
1760.0,1866.5087966956157
2415.0,1704.9507031350793
1945.0,2291.52510015661
310.0,2044.3060851649286
800.0,1126.6620418978594
2205.0,1459.9388422257946
2140.0,2009.4691946635076
1430.0,1896.099893828731
4365.0,1637.9450595234987
940.0,3919.6831412659612
745.0,1732.0284864579523
3490.0,1716.2711851389174
1950.0,3126.695924659324
1955.0,1940.75999637587
670.0,2163.5654369263166
2930.0,1795.507068105511
890.0,2607.465149546483
775.0,1651.4382349430373
1022.5,1609.714351141034
845.0,1762.8240295456158
415.0,958.4619228007755
550.0,860.7557448448507
1065.0,694.658683333455
292.5,1270.106278049182
610.0,724.4847318346277
977.5,698.8340105239039
360.0,949.7254267636761
1155.0,835.9405531711377
1955.0,1189.502947997924
2262.5,2111.338723957796
2937.5,2540.898675640814
4370.0,3660.4509070653057
1980.0,1869.832210115628
1415.0,1607.5967962177463
1650.0,1622.8246163390481
225.0,2003.5988275066882
855.0,724.2434030730493
1455.0,1048.5654490566674
3945.0,1487.668058409267
1885.0,3651.076726635115
1200.0,1966.8439938695194
1195.0,1942.3689560283183
1410.0,1945.888149440194
2165.0,1563.5121357905953
2770.0,1906.5538757995882
1910.0,2506.588745470924
1350.0,1986.0072178921473
840.0,2102.1407542939132
2630.0,1956.6603699295645
1920.0,2394.180982670725
1170.0,1869.815320776049
2570.0,2195.9424509469477
740.0,2343.721135012093
1795.0,1620.7283391232281
1350.0,1709.6054774439951
2290.0,1987.904163498369
2255.0,2117.257139090469
1045.0,2200.4512526661156
2170.0,1866.694218305974
1585.0,2073.6772141292736
3790.0,1799.9751483213727
1480.0,3115.605502514422
1075.0,2195.5356587207452
1245.0,2148.952108961349
1515.0,2107.681554817116
2085.0,1524.0458279998595
4255.0,1885.1381935135169
1435.0,4484.94026965657
1840.0,2315.541424057916
985.0,2399.8957281077023
1150.0,2280.4138953180936
3315.0,1773.3976302146284
5015.0,2920.090334616575
2210.0,4310.417156673474
2235.0,2700.362022462744
799.06,1836.703296587342
780.43,857.6640766936384
933.58,855.556209244472
684.3,912.4703114378783
701.26,752.5977309049796
522.94,723.6897039390069
629.37,675.8348954575324
404.67,666.7925386232449
400.05,541.6614130494168
428.12,488.02502202477757
443.65,467.7571707279921
329.44,426.7376177263398
349.45,413.85393022122713
513.9,421.9019244963947
380.8,461.0414999357692
379.22,415.34107099610964
495.53,407.80449683194195
379.21,459.74767434397836
398.52,405.6916571479649
350.54,420.0892475278693
315.12,400.9398224368064
459.75,364.16069247283906
341.35,416.6346507147631
456.53,372.41884705428777
266.27,416.8545848336427
383.09,370.3393085864264
417.62,371.6132095114385
217.27,400.92675071529425
360.69,304.19981235240874
294.27,359.0361776353799
218.71,326.2537991037685
231.9,291.9866244218415
248.01,298.9067198312728
249.48,288.0854913545044
237.63,277.7202339273227
181.43,263.07032465410856
263.72,238.1487725246717
229.54,253.25952825509404
222.5,235.62722716643734
285.36,236.0509735898229
231.33,293.9675266874227
433.55,239.48878049433625
2173.15,445.5266175299114
2364.1,2093.0509480443366
5236.11,2732.609236696926
13808.22,5445.914621951736
26132.28,22891.885924550217
5855.31,8438.967190454552
396.63,3916.8529999141156
143.71,525.7788272816264
209.19,421.3602365441558
173.53,428.75035509516437
130.1,482.25100275570674
159.02,287.7838275227821
107.87,345.13696498622363
262.27,281.09400599624115
173.71,510.6916530772926
218.29,452.8991847197066
130.92,400.14337627823915
285.52,227.0196539084812
186.83,305.59862529516204
134.41,211.36528073922372
165.27,282.187546638813
249.83,246.06014379044947
99.62,224.61635789960673
56.06,155.9722105715218
144.25,147.26716312345712
142.56,319.0396307959754
136.0,233.7901641708747
175.34,213.27725258227153
197.17,227.6700895153786
144.67,180.5692122462417
161.55,241.48684036013503
117.95,241.95684041915823
130.37,165.20639283084867
96.79,232.5114362059614
285.43,142.33943571465707
139.98,391.0634112040083
220.66,242.64828497106654
160.28,198.49316179002926
179.99,247.11489035823496
281.19,187.923967750507
202.89,359.0633664435445
